@relation offre-3

@attribute id numeric
@attribute poste {'Responsable Support Expert Réseaux ','Ingénieur détude et développement JAVA ','Développeur JAVA Backend (H/F) ','Expert Technico Fonctionnel Billing ','Administrateur Réseaux (H/F) ','Architecte technique ','Testeur/Automaticien Confirmé (H/F) ','IT Onsite Team Leader ','Ingénieur sécurité ','Auditeur Système dInformation Senior','Auditeur Système d’Information Confirmé (H/F) ','Développeur orienté objet ','Développeur VBA ','Approvisionneur Junior ','Vérification & Test engineer ','Spécialiste Network ','Pilote Test et Déploiement Anglophone (H/F) ','Développeur PHP Full Stack Senior ','Ingénieur Développement Senior C# / .NET / MVC5 ','Ingénieur Réseau et Sécurité ','Chef de projet PL/SQL ','Ingénieur TMA (java/SQL) ','Développeur Full stack confirmé ','Développeur .NET Senior (H/F) ','Business Analyst (H/F) ','Chef de projet AMOA (H/F) ','Consultants expérimentés SIRH ','Developpeur Reactjs ','Developpeur Node JS ','Ingénieur Développement Senior Full Stack Java/ J2EE ','Ingénieur TMA ','Consultant Technico','Analyste Programmeur .Net ','Développeur Angular, .Net Core, ASP.Net ','Responsable support monétique ','Concepteur Développeur Symfony (H/F) ','Expert Technique PHP Natif (H/F) ','Ingénieur Concepteur Développeur PHP NATIF (H/F) ','Concepteur Développeur Magento (H/F) ','Ingénieur Concepteur Développeur Drupal ','Expert Technique Drupal ','Développer Big Data SCALA/JAVA (H/F) ','Spécialiste Recrutement (H/F) ','Senior Developer Android/IOS (H/F) ','INGENIEURS SENIORS CASA ET RABAT (RESEAUX, SYSTEME, SECURITE, COMMUNICATIONS UNIFIEES) ','Expert Apache ','Ingénieur de Production ','Ingénieur Support (SQL/JAVA) ','ingénieur support (PHP/ SQL) ','Testeur Informatique Anglophone ','Ingénieur Support BI (H/F) ','Consultant HR Access ','Accounts Managers Intégration IT (Casa et Rabat) ','Consultant SAP FICO ','Data Scientist ','Ingénieur Développeur Dot Net (H/F) ','Consultant OTC ','Lead SAP ( PP / QM/S4HANA ) ','Data Scientist (H/F) ','Technicien Service Desk (H/F) ','Ingénieur Développeur Java/JEE ','Expert DBA ','Expert Technique Front End (H/F) ','Ingénieur Concepteur Développeur JAVASCRIPT/ VUE.JS (H/F) ','Concepteur Développeur NodeJs(H/F) ','Ingénieur Concepteur Développeur JavaScript/Angular (H/F) ','Ingénieur Concepteur Développeur JAVASCRIPT/REACTJS ','Administrateur Système H/F ','Architecte Microservice ','Team Leader JAVA JEE ','Ingénieur Projet JAVA JEE ','Architecte DEVOPS ','Scrum Master Senior ','Business Analyst / Power BI ','IT Business Analyst / JAVA ','Ingénieur Etudes et Développement .NET senior ','Analyste SI ','Chargé(e) de Facturation Client (H/F) [Contrat CDD 3 mois] ','Chargé(e) de Facturation Client et administration des ventes (H/F) ','Ingénieur Etude et Développement Java Senior (H/F) ','Ingénieurs Etude et Développement JAVA EE Senior ','Ingénieur développeur JAVA / Angular ','Développeur full stack ','Chargé(e) de Gestion des Déplacements Professionnels ','Développeur Java Angular ','Concepteur développeur JAVA JEE ','Concepteur développeur ESB ','Ingénieur DEVOPS ','Développeur Master Data Management ','chef de projet MOE Expert IT/Finance ','Senior Cloud Engineer ','Cloud Engineer ','Service Delivery Officer ','Quality of Service Manager ','Security Expert ','Ingénieur Test Automatisation Robot Framework Confirmé (H/F) ','Chargé Sécurité et de la conformité ','Project and service delivery management Officer ','Consultant MSBI ','Delivery Manager ','Ingénieur Etudes et Développement PHP full stack Sénior ','Java Fullstack (H/F) ','Développeur Dotnet confirmé ','Administrateur réseau et système ','Lead Technique (H/F) ','Ingénieur étude et développement Hybris ','Consultant DBA Sybase IQ ','Développeur ','Ingénieur Etude et Développement Dot Net (H/F) ','Ingénieur Test et Recette Fonctionnelle Junior ','Workplace Administrator ','Infrastructure Administrator ','Techniciens Support FAI ','Ingénieur Tests Fonctionnels et Automatisés ','Développeur DRUPAL ','Développeur .NET Confirmé (H/F) ','WorkPlace Specialist ','Ingénieur PFA SPARTE ','Ingénieur IT Business analyst (H/F) ','Ingénieur Chef de projet IT / Scrum Master (H/F) ','Stage PFE Bac+3 : Consultant BI (H/F) ','Consultant(e) MicroStrategy ','Consultant Pilotage & Contrôle AMOA (H/F) ','Développeur Fullstack Javascript (H/F) ','Ingénieur développeur .Net Angular Confirmé ','Ingénieur Développeur C ','Ingénieur DevOps Senior ','Test Analyst Anglophone MON','Ingénieur Test et automatisation ','Responsable sécurité des systèmes dinformation ','Auditeur Sécurité SI Junior (H/F) ','Software R&D Technical Consultant ','Ressource & Operation Manager ','Ingénieur Développement Java Senior (H/F) ','Ingénieurs infrastructure ','Consultants SAM Anglophones ','Ingénieurs Débutants en Support Infrastructure N1(H/F) ','Technicien Informatique Site ','Business Analyst ','Tech Lead Java ','Développeur Full Stack Java/JEE Confirmé ','Ingénieur Etudes et Développement Fullstack .NET / Angular Senior ','Ingénieur Développement PHP ','Ingénieur Etudes Et Développement Java Full Stack (H/F) ','Ingénieur Test Automatisation (H/F) ','Ingénieur Data Senior ','Développeur Big Data ','Ingénieur infrastructure Devops/Docker ','BigData Developer ( Scala/Java) ','Manager IT ','Ingénieur BI Confirmé ','Software Engineer ','Développeur Fullstack / Scrum master ','Expert Oracle ERP/BI ','Développeur Full Stack Java/Angular Confirmé ','Qualifieur ','Consultant en transformation RH (H/F) ','Ingénieur OPS – DEVOPS confirmé ','Expert sécurité robustesse de mots de passe ','Senior IT Talent Acquisition Specialist ','Chef de projet Réseaux et Télécoms ','Domain Manager ','Administrateur Bases de données ','Project Manager ','Expert Test et Automatisation ','Consultant RPA Sénior (H/F) ','Chef de Projet ','Ingénieur Test et Qualification','Ingénieur Test et Automatisation ','Expert test et automatisation ','Référent technique ','Consultant Fonctionnel ','Chef de Projets Technique ','Microsoft System Administrator ','Développeur PHP Full Stack Sénior ','Ingénieur N2 Réseau & Sécurité ','Concepteur Développeur Fullstack ','Developpeur Mainframe ','Analyste fonctionnel ','Chef de projet monétique Senior ','Développeur Angular confirmé ','Ingénieur Back','Référent technique MDM ','Product Owner Agile ','Expert Java J2EE / Angular ','Ingénieur Développeur Oracle PL/SqL C','Tech Lead DotNet ','Développeur Senior DotNet ','Consultant React Native ','Chargé Sécurité et de la conformité (F/H) '}
@attribute region {'Rabat et région - Maroc','Casablanca et région - Maroc','Tout le Maroc - Maroc','Fès et région - Maroc','Marrakech et région - Maroc','Béni Mellal et région - Maroc','Kénitra et région - Maroc'}
@attribute entreprise {'Webhelp Maroc','Adria Business & Technology','INTM Mediterranée','Sofrecom Services Maroc',Umanis,Welink,Atos,'Sitel Group','Deloitte Nearshore',Altados,'ALTEN Maroc',TeamDEV,'EnerGetic Link',Neosys,'TNC The Next Clic','DXC Technology Maroc',Involys,'SQLI Maroc','ARIA Tech',Cnexia,Intelcom,'AXA Rabat (Axa Services)','Oceane Consulting',Omnishore,'Groupe Adaming','Perenity Software','AXA Group Operations Maroc','LCI Education','CGI Technologies et Solutions Maroc',Leyton,OBS,'Excel Management Conseil','Intelcia ITS'}
@attribute typeContrat {'CDI Poste avec Management',CDI,'Freelance Poste avec Management',CDD,Freelance,Autre,Stage}
@attribute nivEtude {'Bac +5 et plus - Ecole dingénieur - Université','Bac +5 et plus - Ecole dingénieur','Bac +5 et plus','Bac +4 - Ecole dingénieur','Bac +2','Bac +5 et plus - Master - Ecole dingénieur','Bac +4','Bac +4 - Master','Bac +5 et plus - Ecole de commerce - Formation spécialisée','Bac +5 et plus - Master - Formation spécialisée','Bac +3 - Ecole dingénieur','Bac +5 et plus - Master - Ecole de commerce','Bac +5 et plus - Master','Bac +2 - Ecole dingénieur - Université','Bac +3 - Master - Ecole dingénieur','Bac +3 - Université','Bac +3 - Université - Formation spécialisée'}
@attribute anneeExperience {'De 5 à 10 ans','De 1 à 3 ans','De 3 à 5 ans',Débutant,'Moins de 1 an - De 1 à 3 ans','De 3 à 5 ans - De 5 à 10 ans','De 5 à 10 ans - De 10 à 20 ans','De 1 à 3 ans - De 3 à 5 ans','De 10 à 20 ans','Moins de 1 an','Débutant - Moins de 1 an'}

@data
2221,'Responsable Support Expert Réseaux ','Rabat et région - Maroc','Webhelp Maroc','CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur - Université','De 5 à 10 ans'
2222,'Ingénieur détude et développement JAVA ','Casablanca et région - Maroc','Adria Business & Technology',CDI,'Bac +5 et plus - Ecole dingénieur','De 1 à 3 ans'
2223,'Développeur JAVA Backend (H/F) ','Casablanca et région - Maroc','INTM Mediterranée',CDI,'Bac +5 et plus','De 3 à 5 ans'
2224,'Expert Technico Fonctionnel Billing ','Rabat et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus','De 5 à 10 ans'
2225,'Administrateur Réseaux (H/F) ','Casablanca et région - Maroc',Umanis,CDI,'Bac +5 et plus','De 3 à 5 ans'
2226,'Architecte technique ','Casablanca et région - Maroc',Welink,'Freelance Poste avec Management','Bac +5 et plus','De 3 à 5 ans'
2227,'Testeur/Automaticien Confirmé (H/F) ','Tout le Maroc - Maroc',Atos,CDI,'Bac +5 et plus - Ecole dingénieur','De 5 à 10 ans'
2228,'IT Onsite Team Leader ','Casablanca et région - Maroc','Sitel Group','CDI Poste avec Management','Bac +4 - Ecole dingénieur','De 3 à 5 ans'
2229,'Ingénieur sécurité ','Rabat et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus','De 1 à 3 ans'
2230,'Auditeur Système dInformation Senior','Casablanca et région - Maroc','Deloitte Nearshore',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2231,'Auditeur Système d’Information Confirmé (H/F) ','Casablanca et région - Maroc','Deloitte Nearshore',CDI,'Bac +5 et plus - Ecole dingénieur','De 1 à 3 ans'
2232,'Développeur orienté objet ','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus','De 3 à 5 ans'
2233,'Développeur VBA ','Rabat et région - Maroc','ALTEN Maroc','CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2234,'Développeur VBA ','Fès et région - Maroc','ALTEN Maroc','CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2235,'Approvisionneur Junior ','Rabat et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus - Ecole dingénieur',Débutant
2236,'Vérification & Test engineer ','Rabat et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 1 à 3 ans'
2237,'Spécialiste Network ','Rabat et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2238,'Pilote Test et Déploiement Anglophone (H/F) ','Fès et région - Maroc','ALTEN Maroc','CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2239,'Développeur PHP Full Stack Senior ','Rabat et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2240,'Pilote Test et Déploiement Anglophone (H/F) ','Rabat et région - Maroc','ALTEN Maroc','CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2241,'Développeur PHP Full Stack Senior ','Fès et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2242,'Ingénieur Développement Senior C# / .NET / MVC5 ','Marrakech et région - Maroc',TeamDEV,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2243,'Ingénieur Réseau et Sécurité ','Casablanca et région - Maroc','EnerGetic Link',CDI,'Bac +5 et plus - Ecole dingénieur','Moins de 1 an - De 1 à 3 ans'
2244,'Chef de projet PL/SQL ','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans - De 5 à 10 ans'
2245,'Ingénieur TMA (java/SQL) ','Casablanca et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2246,'Développeur Full stack confirmé ','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2247,'Développeur .NET Senior (H/F) ','Casablanca et région - Maroc',Neosys,CDI,'Bac +2','De 5 à 10 ans'
2248,'Business Analyst (H/F) ','Rabat et région - Maroc',Neosys,CDI,'Bac +2','De 5 à 10 ans'
2249,'Chef de projet AMOA (H/F) ','Casablanca et région - Maroc','TNC The Next Clic',CDI,'Bac +5 et plus',Débutant
2250,'Consultants expérimentés SIRH ','Rabat et région - Maroc','DXC Technology Maroc',CDI,'Bac +4 - Ecole dingénieur','De 3 à 5 ans'
2251,'Developpeur Reactjs ','Rabat et région - Maroc','DXC Technology Maroc',CDI,'Bac +4 - Ecole dingénieur','De 3 à 5 ans'
2252,'Developpeur Node JS ','Rabat et région - Maroc','DXC Technology Maroc',CDI,'Bac +5 et plus','De 1 à 3 ans'
2253,'Ingénieur Développement Senior Full Stack Java/ J2EE ','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 5 à 10 ans'
2254,'Ingénieur TMA ','Casablanca et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus','De 1 à 3 ans'
2255,'Consultant Technico','Casablanca et région - Maroc',Involys,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2256,'Analyste Programmeur .Net ','Casablanca et région - Maroc',Involys,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2257,'Développeur Angular, .Net Core, ASP.Net ','Casablanca et région - Maroc',Involys,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2258,'Responsable support monétique ','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus - Master - Ecole dingénieur','De 5 à 10 ans - De 10 à 20 ans'
2259,'Concepteur Développeur Symfony (H/F) ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 3 à 5 ans'
2260,'Expert Technique PHP Natif (H/F) ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 5 à 10 ans'
2261,'Ingénieur Concepteur Développeur PHP NATIF (H/F) ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 3 à 5 ans'
2262,'Concepteur Développeur Magento (H/F) ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 3 à 5 ans'
2263,'Ingénieur Concepteur Développeur Drupal ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 3 à 5 ans'
2264,'Expert Technique Drupal ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 5 à 10 ans'
2265,'Développer Big Data SCALA/JAVA (H/F) ','Casablanca et région - Maroc','ARIA Tech',CDI,'Bac +4 - Master','De 3 à 5 ans'
2266,'Spécialiste Recrutement (H/F) ','Fès et région - Maroc',Cnexia,CDI,'Bac +5 et plus - Ecole de commerce - Formation spécialisée','De 1 à 3 ans'
2267,'Senior Developer Android/IOS (H/F) ','Fès et région - Maroc',Cnexia,CDI,'Bac +5 et plus - Master - Formation spécialisée','De 3 à 5 ans'
2268,'INGENIEURS SENIORS CASA ET RABAT (RESEAUX, SYSTEME, SECURITE, COMMUNICATIONS UNIFIEES) ','Rabat et région - Maroc',Intelcom,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2269,'Expert Apache ','Rabat et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2270,'Ingénieur de Production ','Casablanca et région - Maroc','Sofrecom Services Maroc','CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 5 à 10 ans'
2271,'Ingénieur Support (SQL/JAVA) ','Casablanca et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 1 à 3 ans'
2272,'ingénieur support (PHP/ SQL) ','Casablanca et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +3 - Ecole dingénieur','De 1 à 3 ans'
